id,x,y,z,x_transformed,y_transformed
321,10.5191,-1.06866,1.30821,1.1492949908449668,11.181772588390858
322,10.7075,-0.73344,1.23618,0.8173455203923823,11.375877089797314
323,10.6967,-0.994854,1.0866,1.078536627387031,11.360608657562475
324,16.5555,-0.865608,1.5218,1.0494912350858263,17.220762096995784
325,16.3473,-0.825398,1.3039,1.005727027900977,17.01328010194686
326,16.693,-0.641852,1.4315,0.8281191108152571,17.362068077520092
327,16.5532,-0.667456,1.17809,0.8513288773167447,17.22185070500532
328,22.7216,-0.821209,1.76091,1.1105350700847259,23.38671977860613
329,22.4655,-0.893418,1.62969,1.1783543675266646,23.129422494175294
330,22.6828,-0.549949,1.68577,0.8386512745266345,23.352563822860088
331,22.4306,-0.620725,1.55458,0.9051044689712172,23.099190471609187
332,28.5638,-0.637663,2.15205,1.0269137673760567,29.231204140108805
333,28.6662,-0.798231,1.93646,1.18920926571284,29.330843559234044
334,28.6413,-0.40766,1.99559,0.7982695950411696,29.31262571259604
335,28.5618,-0.572921,1.76597,0.962147034246502,29.2303114790729
336,34.5748,-0.477262,2.36039,0.9693204521792923,35.24406805764807
337,34.5782,-0.708293,2.19234,1.2003758121768446,35.24351707906279
338,34.6778,-0.318914,2.15915,0.8127568371445758,35.349760647507814
339,34.5402,-0.510126,1.97044,1.0015880095648537,35.208911163070056
340,40.8268,-0.400373,2.66186,0.9993478721133581,41.49646873837648
341,40.5752,-0.450303,2.52585,1.0449683739549283,41.244051752593585
342,40.8135,-0.127623,2.60651,0.7264103279973805,41.48783453245243
343,40.5855,-0.179755,2.42027,0.7746360527155296,41.258976443455325
344,48.8884,-0.262412,3.03095,0.9992552170351848,49.559249139015954
345,48.9625,-0.445763,2.81097,1.1838464725945204,49.630203121089046
346,49.0721,-0.0709232,2.89518,0.8109355654305452,49.74619661651952
347,48.9634,-0.195931,2.64931,0.934066388625343,49.63537495600042
348,52.9973,-0.0819409,3.32434,0.8890700497067309,53.670634338293205
349,52.9828,-0.284173,3.12308,1.0910246417526608,53.65267841943696
350,53.0393,0.109734,3.12151,0.6981413464592913,53.715905715191425
351,52.8483,-0.065845,2.96366,0.8704286988470089,53.52193135232812
352,58.3737,0.104151,3.36574,0.7949383388463711,59.04943033519215
353,58.4261,-0.173648,3.41261,1.073592729623806,59.09707248986064
354,58.663,0.149648,3.39044,0.7543948346288961,59.33946600760981
355,58.6633,-0.0957309,3.55318,0.9997429888902726,59.33557014239835
356,64.3471,0.185526,3.7614,0.8157165338640853,65.02334845626116
357,64.4365,-0.0717664,3.66442,1.0744999990023407,65.10833585102532
358,64.6095,0.286553,3.68222,0.7191911756963866,65.28743758886529
359,64.5673,0.0914198,3.45496,0.9135742534528019,65.24190710650255
360,70.4017,0.252979,3.97681,0.8518031611882358,71.07821664826481
361,70.4731,-0.0228362,3.88342,1.128798929784784,71.14488994674814
362,70.6721,0.317238,3.88926,0.79217722222055,71.34967590208242
363,70.6106,0.125487,3.66731,0.9828485768851852,71.28490607491459
364,76.6801,0.29632,4.25623,0.9158250992656137,77.35643981996918
365,76.5462,0.0657041,4.19814,1.1441176782709404,77.21861601323062
366,76.5373,0.440737,4.06007,0.768987425564201,77.21613013580249
